id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
2565,The Call of the Wild,"Jack London
Avi",,Classics,2001,172 pages,Scholastic ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452291694l/1852.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1852&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,2.68,https://www.goodreads.com/book/show/1852.The_Call_of_the_Wild?from_search=true&from_srp=true&qid=WDlizfK0OE&rank=1
2593,Building a Life Worth Living A Memoir,Marsha M. Linehan,,Nonfiction,2020,384 pages,Random House,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555551582l/43495368.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=43495368&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,13.99,https://www.goodreads.com/book/show/43495368-building-a-life-worth-living?from_search=true&from_srp=true&qid=MwInVPHOfd&rank=1
2602,"Human Diversity - The Biology of Gender, Race, and Class ",Charles Murray,,Science,2020,528 pages,Twelve,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571543654l/48510255._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=48510255&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/48510255-human-diversity?from_search=true&from_srp=true&qid=eRjceV03jB&rank=1
2612,The Orchid Thief,Susan Orlean,,Nonfiction,2000,284 pages,Ballantine Books ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328347217l/228345.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=228345&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,12.99,https://www.goodreads.com/book/show/228345.The_Orchid_Thief?from_search=true&from_srp=true&qid=HX3Vq31raz&rank=1
2652,TTC Audio - How to Program,,,,,,,,,,
2677,David Walliams,David Walliams,,Harlequin,2018,80 pages,HarperCollins Children’s Books ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528156875l/40384931._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=40384931&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/40384931-the-world-of-david-walliams-book-of-stuff?from_search=true&from_srp=true&qid=fAf3luQsuK&rank=1
2746,Dune Saga,Frank Herbert,,Science Fiction,,2826 pages,Biblioteca do Exilado ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493665963l/35040309._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=35040309&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/35040309-duna-saga?from_search=true&from_srp=true&qid=O7b0GsgyH6&rank=1
2848,This is Going to Hurt,Adam Kay,,Nonfiction,2017,256 pages,Picador,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495900231l/35235302._SX318_SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=35235302&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/35235302-this-is-going-to-hurt?from_search=true&from_srp=true&qid=kFOq3tytkI&rank=1
2862,Edison ,"Jonathan Kellerman
Jesse Kellerman",,Mystery,,368 pages,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566548130l/42754952._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=42754952&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/42754952-half-moon-bay?from_search=true&from_srp=true&qid=cb5lNpBUjX&rank=1
2909,Grokking Algorithms ,Aditya Y. Bhargava,,Computer Science,2015,256 pages,Manning Publications Co,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458747997l/22847284._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=22847284&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/22847284-grokking-algorithms-an-illustrated-guide-for-programmers-and-other-curio?from_search=true&from_srp=true&qid=hbQaaOQZSn&rank=1
2922,TTC Audio - Economics,,,,,,,,,,
2923,TTC Audio - The Surveillance State,,,,,,,,,,
2940,TTC Audio - Cognitive Behavioral Therapy,,,,,,,,,,
2942,TTC Audio - Understanding Genetics ,,,,,,,,,,
2944,TTC Audio - What Darwin Didnt Know The Modern Science of Evolution,,,,,,,,,,
3008,TTC Audio - Conquest of the Americas,,,,,,,,,,
3010,TTC Audio - Critical Business Skills for Success,,,,,,,,,,
4001,Adventures of Huckleberry Finn,"Mark Twain
Guy Cardwell
John Seelye
Walter Trier",,Classics,2002,327 pages,Penguin Classics ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879l/2956.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=2956&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,2.99,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn?from_search=true&from_srp=true&qid=iB5jBq5xVl&rank=1
11534,"I'm Sorry, Folks",,,,,,,,,,
11536,Dangerous,Samira Ahmed,,Young Adult,2020,336 pages,Soho Teen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568138065l/51094449._SX318_SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=51094449&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,10.99,https://www.goodreads.com/book/show/51094449-mad-bad-dangerous-to-know?from_search=true&from_srp=true&qid=06mJr8dxU6&rank=1
11538,Live @ The Chicago Funny Firm,,,,,,,,,,
11540,Flying Saucer Tour ,,,,,,,,,,
11542,Relentless,"Francis Chan
Danae Yankoski
Chris Tomlin",,Christian,2008,187 pages,David C. Cook ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328763220l/3206011.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=3206011&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,7.97,https://www.goodreads.com/book/show/3206011-crazy-love?from_search=true&from_srp=true&qid=W6y8uxJLIL&rank=1
